Date,Temp_Max,Temp_Avg,Temp_Min,DewPoint_Max,DewPoint_Avg,DewPoint_Min,Humidity_Max,Humidity_Min,WindSpeed_Max,WindSpeed_Min,Pressure(Hg)_Max,Pressure(Hg)_Min,PPT(in)_Avg,Unnamed: 19
2012-09-01,1,89,82,75,70,65,60,-,44,-,6.0,-,-,-
2012-09-02,2,81,77,72,70,67,65,-,62,-,4.0,-,-,-
2012-09-03,3,79,75,71,72,66,60,-,54,-,6.0,-,-,-
2012-09-04,4,81,76,71,76,72,67,-,74,-,0.0,-,-,-
2012-09-05,5,85,81,76,75,71,64,-,58,-,0.0,-,-,-
2012-09-06,6,81,77,72,69,67,64,-,58,-,4.0,-,-,-
2012-09-07,7,87,81,74,72,69,66,-,57,-,0.0,-,-,-
2012-09-08,8,83,75,67,75,70,60,-,60,-,7.0,-,-,-
2012-09-09,9,79,73,66,61,56,50,-,37,-,5.0,-,-,-
2012-09-10,10,73,67,60,58,49,43,-,38,-,9.0,-,-,-
2012-09-11,11,75,67,58,54,45,39,-,31,-,0.0,-,-,-
2012-09-12,12,80,72,64,56,53,49,-,33,-,0.0,-,-,-
2012-09-13,13,80,73,66,61,57,53,-,42,-,4.0,-,-,-
2012-09-14,14,80,74,67,62,59,55,-,45,-,4.0,-,-,-
2012-09-15,15,78,70,62,61,52,47,-,41,-,7.0,-,-,-
2012-09-16,16,76,69,61,50,48,45,-,35,-,5.0,-,-,-
2012-09-17,17,79,71,63,59,51,47,-,33,-,0.0,-,-,-
2012-09-18,18,77,73,69,71,68,61,-,68,-,7.0,-,-,-
2012-09-19,19,71,66,61,67,50,41,-,36,-,6.0,-,-,-
2012-09-20,20,70,64,58,56,52,45,-,55,-,5.0,-,-,-
2012-09-21,21,74,68,62,57,54,52,-,49,-,4.0,-,-,-
2012-09-22,22,77,69,60,67,62,57,-,61,-,0.0,-,-,-
2012-09-23,23,69,64,58,59,46,41,-,37,-,6.0,-,-,-
2012-09-24,24,68,62,56,45,40,34,-,29,-,0.0,-,-,-
2012-09-25,25,74,65,56,55,47,41,-,38,-,0.0,-,-,-
2012-09-26,26,77,72,66,63,59,55,-,60,-,4.0,-,-,-
2012-09-27,27,77,72,67,63,61,57,-,57,-,0.0,-,-,-
2012-09-28,28,71,67,62,65,63,59,-,81,-,4.0,-,-,-
2012-09-29,29,65,62,59,58,55,53,-,67,-,0.0,-,-,-
2012-09-30,30,69,64,58,55,51,44,-,45,-,5.0,-,-,-
2012-10-01,1,72,64,55,52,47,45,-,41,-,0.0,-,-,-
2012-10-02,2,70,67,63,65,59,48,-,52,-,0.0,-,-,-
2012-10-03,3,73,69,64,68,66,64,-,84,-,0.0,-,-,-
2012-10-04,4,75,72,68,70,68,65,-,79,-,0.0,-,-,-
2012-10-05,5,80,73,65,65,59,54,-,39,-,0.0,-,-,-
2012-10-06,6,78,68,57,59,55,44,-,50,-,7.0,-,-,-
2012-10-07,7,57,54,50,47,42,36,-,50,-,0.0,-,-,-
2012-10-08,8,56,52,48,45,42,39,-,55,-,0.0,-,-,-
2012-10-09,9,60,56,52,55,51,44,-,71,-,7.0,-,-,-
2012-10-10,10,69,62,54,58,52,40,-,47,-,6.0,-,-,-
2012-10-11,11,61,55,49,40,34,30,-,32,-,5.0,-,-,-
2012-10-12,12,57,51,44,41,36,28,-,43,-,8.0,-,-,-
2012-10-13,13,54,48,42,41,28,21,-,28,-,0.0,-,-,-
2012-10-14,14,72,63,54,56,49,42,-,44,-,9.0,-,-,-
2012-10-15,15,78,70,61,63,58,53,-,61,-,6.0,-,-,-
2012-10-16,16,61,56,51,52,40,35,-,44,-,7.0,-,-,-
2012-10-17,17,63,56,48,47,40,37,-,39,-,4.0,-,-,-
2012-10-18,18,66,58,50,57,50,45,-,52,-,0.0,-,-,-
2012-10-19,19,68,65,62,65,63,57,-,78,-,6.0,-,-,-
2012-10-20,20,72,65,57,64,54,38,-,38,-,0.0,-,-,-
2012-10-21,21,66,59,52,43,40,37,-,37,-,7.0,-,-,-
2012-10-22,22,70,62,54,45,42,39,-,37,-,6.0,-,-,-
2012-10-23,23,66,62,58,55,49,43,-,48,-,0.0,-,-,-
2012-10-24,24,59,58,56,56,54,52,-,75,-,5.0,-,-,-
2012-10-25,25,64,60,56,54,51,49,-,65,-,4.0,-,-,-
2012-10-26,26,66,63,59,56,55,52,-,68,-,0.0,-,-,-
2012-10-27,27,65,62,59,59,55,51,-,67,-,4.0,-,-,-
2012-10-28,28,60,58,56,54,49,44,-,62,-,15.0,-,-,-
2012-10-29,29,63,59,54,61,54,46,-,72,-,17.0,-,-,-
2012-10-30,30,59,54,48,56,46,41,-,61,-,6.0,-,-,-
2012-10-31,31,55,50,45,40,37,35,-,52,-,6.0,-,-,-
2012-11-01,1,53,48,42,40,37,35,-,54,-,9.0,-,-,-
2012-11-02,2,53,49,44,40,35,32,-,48,-,9.0,-,-,-
2012-11-03,3,51,47,43,37,34,32,-,48,-,13.0,-,-,-
2012-11-04,4,52,47,41,36,32,29,-,44,-,8.0,-,-,-
2012-11-05,5,46,42,37,30,26,21,-,42,-,8.0,-,-,-
2012-11-06,6,43,39,35,27,20,17,-,38,-,6.0,-,-,-
2012-11-07,7,44,39,33,39,32,24,-,54,-,14.0,-,-,-
2012-11-08,8,50,43,35,34,27,22,-,45,-,10.0,-,-,-
2012-11-09,9,54,47,39,36,29,24,-,38,-,5.0,-,-,-
2012-11-10,10,55,51,46,45,40,34,-,59,-,0.0,-,-,-
2012-11-11,11,65,55,45,52,49,44,-,60,-,0.0,-,-,-
2012-11-12,12,65,57,49,59,55,48,-,73,-,0.0,-,-,-
2012-11-13,13,59,50,41,58,43,29,-,53,-,6.0,-,-,-
2012-11-14,14,49,44,39,29,27,25,-,45,-,6.0,-,-,-
2012-11-15,15,45,42,38,32,27,24,-,49,-,0.0,-,-,-
2012-11-16,16,48,44,39,29,27,25,-,45,-,6.0,-,-,-
2012-11-17,17,52,46,40,34,30,26,-,44,-,0.0,-,-,-
2012-11-18,18,49,45,40,37,34,30,-,60,-,5.0,-,-,-
2012-11-19,19,49,44,39,40,36,33,-,66,-,0.0,-,-,-
2012-11-20,20,49,45,41,39,34,31,-,50,-,4.0,-,-,-
